id_usuario|nombre_usuario|nombre_perfil|correo|contraseña|rol|foto_perfil|biografia
1|admin|Administrador|admin@readtoowell.com|$2a$10$JSZ6Zy9hdlat1qzkYTGhgOOUOPpPGe1OryfmrhU6MfvW6Y.3AdUVq|2|https://res.cloudinary.com/dfrgrfw4c/image/upload/v1741801697/readtoowell/profilepics/pfp_basic.jpg|
187|rickriordan_|Rick Riordan|riordan@readtoowell.com|$2a$10$2PywQKR2Rh5BzieidXSLZe9h3C/K9v.i/QEfaXHXvvhB4meBb21TS|1|https://res.cloudinary.com/dfrgrfw4c/image/upload/v1746989485/readtoowell/profilepics/rick-riordan_i70axu.jpg|"Escritor americano, Rick Riordan es un autor de fantasía, misterio y literatura juvenil, conocido principalmente por su serie de libros Percy Jackson y los dioses del Olimpo.

Riordan estudió en la Universidad de Texas y pasó varios años trabajando como profesor de Inglés y Estudios Sociales en San Francisco, donde comenzó a desarrollar las historias de su personaje más emblemático, Percy Jackson. Riordan ha recibido diversos galardones —como un Premio Edgar— por sus relatos de misterio y ha publicado en revistas como Ellery Quin.

En 2006 publicó la primera entrega de la serie de Percy Jackson, Percy Jackson y el ladrón del rayo. Con ella da comiendo una serie de fantasía juvenil que ha logrado varias adaptaciones al cine, creando un universo que ha explorado con otras series sobre la mitología griega. Además, Riordan también ha escrito sobre otras tradiciones, como la egipcia o la nórdica."
196|xtawie|Tamara Molina|tamaramolina@readtoowell.com|$2a$10$g5J5E70mDWiuWmvqSdubZOu75QoI55fcB0s9k49.DctjFynEmGGUa|1|https://res.cloudinary.com/dfrgrfw4c/image/upload/v1747143464/readtoowell/profilepics/tamara_ujah7d.jpg|Tamara Molina Querol nació en Barcelona y ha vivido toda su vida entre páginas. Su desenfrenada imaginación y creatividad la han empujado a compartir su pasión por la lectura y la escritura. Escritora, creadora de contenido en redes sociales y amante del sushi, Tamara sueña con llenar librerías con sus historias. Donde no puedas encontrarme, su primera novela, es un mensaje de amor y esperanza para todas aquellas personas que conozcan el dolor de un corazón roto.
4|meryonedi|mery|marialopez@readtoowell.com|$2a$10$bPlIZOSckQOAC33pWnfMbupjXuKiprxZWtWKq2e3SbjGHrGzQ6Ld2|0|https://res.cloudinary.com/dfrgrfw4c/image/upload/v1741801664/readtoowell/profilepics/4.jpg|me gusta snoopito!!
178|alfonsocasas|Alfonso Casas|casasalf@readtoowell.com|$2a$10$n57PiqDirQhC/TMz2v1f8uIdYKWPKG5Yq3xWooJzfFVv/0LcC3GOO|1|https://res.cloudinary.com/dfrgrfw4c/image/upload/v1746988096/readtoowell/profilepics/alfonso-casas_ulvdpb.jpg|Alfonso Casas Moreno es un ilustrador e historietista español nacido en Zaragoza en 1981. Tras estudiar magisterio y bellas artes, desarrolla su actividad profesional como ilustrador en Barcelona. Su estilo se caracteriza por el uso de la ironía, el trazo grueso y una reducida gama de colores. Entre sus libros pueden citarse Se(nti)mental (2015), que ha sido definido como un libro interactivo que contiene una recopilación de ilustraciones sobre desamor;​ Freddie Mercury, una biografía (2018) y Amores: Algunas cosas que aprendí y otras que me costó olvidar (2019), un libro con algunas ilustraciones completas y otras en forma de cómic en el que comparte experiencias sobre amores y desamores. Entre sus cómics se encuentra Amores minúsculos (2012), que ha sido llevado al teatro. Otro de ellos es El final de todos los agostos (2017), que ha sido traducido al francés, en el que el protagonista de la historia regresa al lugar donde muchos años atrás había pasado sus vacaciones para realizar un proyecto fotográfico. Posteriormente publicó Monstruosamente (2020), un cómic en blanco y negro sobre los miedos que asaltan a las personas en su día a día. Tras su éxito edita Las Orejas al Lobo (2022) y Todas las personas que fui (2023) que continúan la historia de los monstruos internos con los que lidiamos.
186|rothfuss|Patrick Rothfuss|patrothfuss@readtoowell.com|$2a$10$5KsZ2IxTyFLSYkENNQ0mZeSuYmi2Zr.E0dXDfxzZDQeGqLXFzd1Da|1|https://res.cloudinary.com/dfrgrfw4c/image/upload/v1746989325/readtoowell/profilepics/patrick-rothfuss_awvrl3.jpg|"Escritor americano, Patrick Rothfuss estudió en la Universidad de Wisconsin-Stevens Points mientras trabajaba en los más variados oficios. Tras graduarse y completar sus estudios en la Universidad de Washington, volvió a Stevens Points para impartir clases.

En lo literario, Rothfuss inició la escritura de su serie más famosa, Crónica del asesino de reyes, durante sus primeros estudios universitarios. La primera novela fue rechazada en varias ocasiones hasta que El nombre del viento llegó a ser publicado en 2007, año en el que se llevó el Premio Quill. Rothfuss alcanzó los primeros puestos en ventas del New York Times y el Times, convirtiéndose en uno de los autores de literatura fantástica más conocidos de la actualidad.

Hasta el momento, Rothfuss ha publicado dos de los tres tomos de su serie, siendo El temor de un hombre sabio la continuación de El nombre del viento. Además, Rothfuss es conocido por su labor dentro de la cooperación y solidaridad a través del proyecto Worldbuilders."
185|juliaquinn|Julia Quinn|quinnjulia@readtoowell.com|$2a$10$lgzSBEnMIc7dszjPLj.lpOlBJZ0n76EoaOhM1VuybmewNgcGYAICS|1|https://res.cloudinary.com/dfrgrfw4c/image/upload/v1746989244/readtoowell/profilepics/julia-quinn_j3pwfz.jpg|"Julia Quinn es el seudónimo más utilizado por la escritora americana Julie Cutler,la cual se graduó en Historia del Arte en la Universidad de Harvard, iniciando estudios de Medicina en la de Yale, que no concluyó por el inesperado éxito de sus novelas.

Quinn ha sido traducida a más de 25 idiomas y es una habitual de las listas de los más vendidos del New York Times. A lo largo de su carrera ha recibido numerosos premios y galardones, de entre los que habría que destacar varios Premios Rita.

Quinn es autora de novelas de tipo feminista dentro del género histórico romántico, donde es considerada como una maestra de los diálogos."
179|sallyrooney|Sally Rooney|rooney@readtoowell.com|$2a$10$MzDR2WsFaprBYFGY/JpXLuzYvLrePP4U/Pt8tYDqdgZ72lrFqVB2S|1|https://res.cloudinary.com/dfrgrfw4c/image/upload/v1746988297/readtoowell/profilepics/sally-rooney_pwomau.jpg|"Nacida en Castlebar el 20 de febrero de 1991, Sally Rooney es una autora irlandesa que estudió Inglés en el Trinity College de Dublín y posee un máster en Literatura Norteamericana. En sus años como estudiante ganó ligas de debate y oratoria a nivel europeo.

Ha publicado textos en Granta, The Dublin Review, Winter Pages, The New Yorker y The Stinging Fly, medio en el que trabaja como editora desde 2017.

Por su primera novela, Conversaciones entre amigos, ganó el premio Escritora Joven del Año 2017 del Sunday Times. Después de esta vio la luz Gente normal, una historia que se adaptó a televisión y con la que Rooney cosechó gran éxito, ganando premios como el Costa Novel Award y el Irish Novel of the Year, además de quedar finalista del Man Booker Prize o el Women's Prize for Fiction."
180|polguasch|Pol Guasch|pol@readtoowell.com|$2a$10$gyGFomUw8/ktCJ3RwaVvh.WzVifE0dr8k.dUbI78aBVoF4.qUoRcq|1|https://res.cloudinary.com/dfrgrfw4c/image/upload/v1746988442/readtoowell/profilepics/Pol-Guasch_tly4kb.jpg|Es poeta e investigador. Se graduó en Estudios Literarios y ha cursado un máster en Construcción y Representación de Identidades Culturales en la Universidad de Barcelona, donde ha sido profesor asociado de Literatura y Crítica de la Cultura. En el Programa de Estudios Independientes del MACBA desarrolló una investigación sobre amor, revolución y poesía, que actualmente sigue en curso en el King’s College de Londres, donde reside. Es autor del libro de poesía Tanta gana (2018).
193|ocean_vuong|Ocean Vuong|vuongocean@readtoowell.com|$2a$10$NGcCNTaNN5lMYrkdJJ6laOXLtmeQrNtwkYbKFtNeyCoxVPI8wo27W|1|https://res.cloudinary.com/dfrgrfw4c/image/upload/v1747143024/readtoowell/profilepics/ocean-vuong_w79eq2.png|"Nacido en Ho Chi Minh, Vietnam, Ocean Vuong pasó un año en un campo de refugiados en Filipinas junto a su familia y, en 1990 con tan solo dos años, emigró con ellos a Estados Unidos tras conseguir asilo. Vuong fue el primero de su familia en aprender a leer cuando cumplió los once.

El autor estudió Literatura Inglesa del siglo XIX en el Brooklyn College y también Poesía en la Universidad de Nueva York. Sus poemas y composiciones se han publicado en numerosos medios, entre ellos The New Yorker y The New York Times. Reside en Northampton, Massachusetts y es profesor en el Amherst College de la misma ciudad.

Su primera novela, En la tierra somos fugazmente grandiosos, está inspirada en las propias vivencias del autor."
